match_id,series_id,match_details,result,Team1,Score1,Team2,Score2,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs
729279,695871,"1st match:MI v KKR at Abu Dhabi- Apr 16, 2014",KKR won by 41 runs,KKR,163,MI,122,16/04/14,Abu Dhabi,1st match,MI,KKR,KKR,41,,,KKR,163,5,20,20,MI,122,7,20,20
729281,695871,"2nd match:DD v RCB at Sharjah- Apr 17, 2014",RCB won by 8 wickets,DD,145,RCB,146,17/04/14,Sharjah,2nd match,DD,RCB,RCB,,8,,DD,145,4,20,20,RCB,146,2,16.4,20
729283,695871,"3rd match:CSK v KXIP at Abu Dhabi- Apr 18, 2014",KXIP won by 6 wickets,CSK,205,KXIP,206,18/04/14,Abu Dhabi,3rd match,CSK,KXIP,KXIP,,6,,CSK,205,4,20,20,KXIP,206,4,18.5,20
729285,695871,"4th match:SRH v RR at Abu Dhabi- Apr 18, 2014",RR won by 4 wickets,SRH,133,RR,135,18/04/14,Abu Dhabi,4th match,SRH,RR,RR,,4,,SRH,133,6,20,20,RR,135,6,19.3,20
729287,695871,"5th match:RCB v MI at Dubai (DSC)- Apr 19, 2014",RCB won by 7 wickets,MI,115,RCB,116,19/04/14,Dubai (DSC),5th match,RCB,MI,RCB,,7,,MI,115,9,20,20,RCB,116,3,17.3,20
729289,695871,"6th match:KKR v DD at Dubai (DSC)- Apr 19, 2014",DD won by 4 wickets,KKR,166,DD,167,19/04/14,Dubai (DSC),6th match,KKR,DD,DD,,4,,KKR,166,5,20,20,DD,167,6,19.3,20
729291,695871,"7th match:RR v KXIP at Sharjah- Apr 20, 2014",KXIP won by 7 wickets,RR,191,KXIP,193,20/04/14,Sharjah,7th match,RR,KXIP,KXIP,,7,,RR,191,5,20,20,KXIP,193,3,18.4,20
729293,695871,"8th match:CSK v DD at Abu Dhabi- Apr 21, 2014",CSK won by 93 runs,CSK,177,DD,84,21/04/14,Abu Dhabi,8th match,CSK,DD,CSK,93,,,CSK,177,7,20,20,DD,84,10,15.4,20
729295,695871,"9th match:KXIP v SRH at Sharjah- Apr 22, 2014",KXIP won by 72 runs,KXIP,193,SRH,121,22/04/14,Sharjah,9th match,KXIP,SRH,KXIP,72,,,KXIP,193,6,20,20,SRH,121,10,19.2,20
729297,695871,"10th match:RR v CSK at Dubai (DSC)- Apr 23, 2014",CSK won by 7 runs,CSK,140,RR,133,23/04/14,Dubai (DSC),10th match,RR,CSK,CSK,7,,,CSK,140,6,20,20,RR,133,10,19.5,20
729299,695871,"11th match:RCB v KKR at Sharjah- Apr 24, 2014",KKR won by 2 runs,KKR,150,RCB,148,24/04/14,Sharjah,11th match,RCB,KKR,KKR,2,,,KKR,150,7,20,20,RCB,148,5,20,20
729301,695871,"12th match:SRH v DD at Dubai (DSC)- Apr 25, 2014",SRH won by 4 runs,SRH,184,DD,180,25/04/14,Dubai (DSC),12th match,SRH,DD,SRH,4,,,SRH,184,1,20,20,DD,180,4,20,20
